"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
‘동래 SK뷰 아파트’ 공사현장 사망사고 발생,SK건설이 시공 중인 부산 동래구 온천동 SK부 3차 아파트 공사현장에서 근로자 1명이 숨지고 3명이 다치는 사고가 발생했다.	 사망사고를 수사하는 경찰은 콘크리트 타설기가 갑자기 내려앉은 정황에 대해 집중적으로 수사하고 있다.	지난 21일 오전 9시20분께 동래구 온천동 동래 SK뷰 3차 아파트 11층 공사현장의 콘크리트 타설기를 끌어 올리는 작업 중 갑자기 타설기가 내려않으면서 주변에 작업 중이던 근로자를 덮쳤다.11층에서 전선배관 작업을 하던 근로자 1명은 사망했고 9층에서 유압실린더를 이용해 타설기를 들어 올리는 작업을 하던 근로자는 부상당했다.	사고가 발생한 신축 아파트 10층에는 타설기가 내려앉은 충격으로 바닥이 부서지고 철근 파이프 등이 휘어진 상태였다고 경찰은 전했다.	 경찰은 부상자와 목격자 진술을 토대로 현장을 감식해 정확한 사고 원인을 밝힐 예정이다.	이 현장은 SK건설이 39층 8개동의 아파트를 시공중이며 경찰은 골조공사를 맡은 하도급 업체 등을 상대로 안전수칙 준수 여부 등도 조사하고 있다.
대구 신천지 교회에 날달걀 세례… 누가?,"대구 신천지예수교 증거장막성전 대구교회 입구가 날달걀 세례를 받았다.11일 대구 남구청 등에 따르면 이날 오전 대명동 신천지 대구교회 건물 1층 입구와 유리창 등은 날달걀로 얼룩졌다.	신천지 측의 민원이나 신고는 접수되지 않았으며, 구청 환경미화원이 입구를 청소했다.	경찰은 신종 코로나바이러스 감염증으로 신천지에 불만을 가진 시민이 저지른 행각으로 보고 조사 중이다.	한편 신천지 대구교회는 2월28일 폐쇄돼 건물 내 머무르는 사람은 없다.	 대구시는 교회 폐쇄 기간을 오는 24일로 연장했다."
"당당하던 트럼프, 시위대 백악관 몰리자 지하벙커 피신",부인인 멜라니아 트럼프 여사와 아들 배런 트럼프도 벙커로 피신했는지 여부는 알려지지 않았으나 트럼프 대통령과 그 가족들은 예기치 못한 상황에 상당히 당황한 것으로 알려졌다.	멜라니아 여사는 이번 시위에 불안감을 나타내며 30일 플로리다주 케네디우주센터의 민간 유인우주선 발사 현장에 가지 않기로 결정했다.	조지 플로이드는 지난달 25일 미니애폴리스에서 지폐 위조 혐의로 경찰에 체포되는 과정에서 백인 경찰 데릭 쇼빈의 무릎에 목이 짓눌려 사망했다.	 주변 행인이 이 장면을 촬영해 소셜미디어에 올리자 미니애폴리스를 비롯해 미국 전역에서 항의 시위가 일어나고 있다.
"박사방 조주빈 공범 ""이기야"", 군 검찰 송치",육군에 따르면 군사경찰은 A일병을 아동 청소년성보호법 위반 등의 혐의로 이날 기소 의견으로 군 검찰에 송치했다.	A일병은 조주빈이 운영한 박사방에서 수백회에 걸쳐 성착취물을 유포하고 박사방을 외부에 홍보한 혐의를 받고 있다.	A일병은 박사방 공동 운영자로 지목된 3명 중 1명인 '이기야'인 것으로 전해졌다.	군 검찰이 민간 수사기관과 협조해 A일병을 수사한다.	 앞서 육군 수도방위사령부 보통군사법원은 6일 A일병에 대한 구속영장을 발부했다.
모금함 현금 훔치다 붙잡힌 20대… 석방 2시간 만에 또,"두 차례에 걸쳐 지하철 역사에 설치된 불우이웃돕기 모금함에서 현금을 훔친 혐의를 받고 있는 20대 남성이 경찰에 붙잡혔다.1일 서울 노원경찰서는 절도 혐의로 20대 남성 A씨를 검거해 조사 중이다.	A씨는 지난달 29일 저녁 7시40분쯤 서울 노원구 석계역 안에서 사회복지공동모금회 사랑의열매 모금함에서 현금 3만원을 꺼낸 혐의로 검거됐다.	 당시 현장을 발견한 시민이 A씨의 범행을 경찰에 신고했다.	 경찰은 피해금액이 적다는 점을 고려해 A씨를 즉결심판에 넘기기로 하고 귀가조치 시켰다.	 하지만 A씨는 같은날 밤 9시20분쯤 똑같은 모금함에서 돈을 꺼내려다 경찰에 붙잡혔다.	경찰 관계자는 ""A씨를 상대로 범행 경위 및 동기 등을 조사 중""이라고 말했다."
"주한미군은 코로나 시한폭탄… ""해운대 난동 강력 처벌하라""","민중공동행동 자주평화통일특별위원회는 7일 오전 11시30분 서울 종로구 미국대사관 앞에서 ""한국 정부와 경찰은 즉시 난동에 가담한 주한미군 전원을 찾아내 한국법으로 사법처리하라""는 목소리를 냈다.	이들은 ""이번 난동은 주한미군 수천명이 도심일대를 쑥대밭으로 만든 있을 수 없는 사건""이라며 ""사건을 방치한 주한미군 사령관에게 책임이 있다""고 비판했다."
주진모·하정우 휴대전화 해킹범 잡혔다… 조주빈과 무관,"배우 주진모와 하정우 등 연예인 5명의 휴대전화를 해킹하고 협박한 일당이 경찰에 검거됐다.10일 경찰에 따르면 서울지방경찰청 사이버수사대는 지난달 12일 박모씨와 김모씨를 공갈 및 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반 혐의로 검거해 같은 달 20일 구속 송치했다.	경찰은 외국에 있는 것으로 알려진 또 다른 공범 A씨에 대해서도 국제 공조를 통해 수사 중이다.	아울러 A씨의 지시를 받고 몸캠피싱 피해자로부터 갈취한 자금을 세탁해 외국으로 송금한 김모씨와 문모씨에 대해서도 같은 날 구속 송치했다.	이들은 텔레그램 '박사방' 운영자 조주빈과는 무관한 것으로 알려졌다.	 조주빈은 주진모의 카톡 유출을 자신이 했다고 주장한 바 있다.	 당시 경찰은 ""조주빈이 하지 않았다""며 허풍의 일종이라고 전했다."
"DGB금융, 발달장애인 실종 예방 위치감지기 지원","DGB금융그룹은 23일 대구 칠성동 DGB대구은행 본점에서 발달장애인 실종예방과 조기발견을 위한 위치감지기 후원금을 전달했다고 밝혔다.	 DGB금융그룹은 임직원 급여 1% 기부 금액과 계열사 기부금을 재원으로 1500만원을 대구시발달장애인지원센터에 기탁했다.	 이는 총 92명의 발달장애인에게 ‘손목시계형 위치감지기’를 지원에 사용된다.	 손목시계형 위치감지기는 발달장애인이 착용하고 있는 손목시계에 탑재, 위치 정보를 실시간으로 보호자의 스마트폰으로 전송한다.	 이런 기술을 통해 발달장애인이 지정된 거리나 위치를 벗어나게 되면 보호자에게 자동으로 경고 알림이 발송되는 최신형 장비다.	 앞서 DGB금융그룹은 지난해 대구시, 대구지방경찰청과 함께 ‘발달장애인 실종예방 및 조기발견을 위한 업무협약’을 체결한 바 있다.	이번 위치감지기 지원에 이어 긴급 실종자 발생 시 250여개 DGB대구은행 영업점 TV스크린에서 실종자 안내방송을 지원하는 사업도 검토하고 있다.	김태오 DGB금융그룹 회장은 “발달장애인의 실종 소식을 접할 때마다 걱정과 안타까운 마음으로 지역 대표기업으로 역할을 고심하던 중 위치감지기를 후원했다”며 “지역 장애인과 돌봄 가족에 도움이 되길 희망한다”고 말했다."
"중국 밀입국자, 6명 아닌 8명이다?","중국에서 소형 모터보트를 이용해 충남 태안으로 밀입국한 중국인 숫자가 경찰에서 발표한 6명이 아닌 8명이란 진술이 나왔다.28일 태안해양경찰서 등에 따르면 해경은 지난 26일 전남 목포에서 붙잡힌 중국인 용의자 A씨에게서 ""8명이 밀입국했다""는 진술을 확보했다.	이들은 지난 20일 저녁 8시쯤 중국 산둥성 웨이하이시를 출발해 21일 오전 11시 23분쯤 태안 해변으로 밀입국했다.	A씨는 밀입국 사유에 대해 ""한국에서 일자리를 찾기 위해서""라고 설명했다.	해경은 이들의 밀입국 당시 CCTV를 분석한 결과 6명이 해변에서 걸어 나오는 모습을 확인했다며 밀입국자 숫자를 6명으로 발표했다.	그러나 A씨는 "" 일행은 모두 8명""이라며 ""근처에서 대기하던 승합차를 타고 전남 목포로 이동했다""고 언급했다.	해경이 A씨가 붙잡힌 목포 인근의 CCTV 영상을 분석한 결과 모두 10명이 승합차에서 내리는 모습이 확인됐다.	해경은 A씨의 진술이 신빙성이 있다고 보고 달아난 밀입국 용의자 7명과 승합차로 이들의 도주를 도운 것으로 여겨지는 공범 2명의 행방을 쫓는 데 수사력을 집중하고 있다.	해경은 A씨가 밀입국 전부터 연락해 온 국내 체류 중국인 남성 B씨를 검거했다.	 B씨 역시 불법 체류자이며 밀입국자에게 일자리를 알선하는 등 국내 잠입과 도피에 도움을 준 혐의를 받고 있다."
"군포 물류센터 불 낸 튀니지인 구속… ""피해액만 220억원""","220억원 상당 재산피해를 낸 경기 군포 물류터미널 화재 원인자로 지목된 외국인 근로자에게 구속영장이 발부됐다.	 수원지법 안양지원 김현정 영장전담 부장판사는 24일 오후 중실화 혐의로 입건된 A씨에 대해 구속영장을 발부했다.	김 부장판사는 A씨에 대한 구속 전 피의자 심문 뒤 ""도주 우려가 있다""며 영장발부 사유를 밝혔다.	A씨는 21일 오전 10시35분쯤 군포시 부곡동 군포물류센터 E동 옆 쓰레기 분리수거장에 자신이 피운 담배꽁초를 버려 불을 낸 혐의를 받는다.	경찰은 E동 주변 폐쇄회로TV 분석 등을 통해 A씨가 종이상자 더미에 담배꽁초를 버리고 18분 뒤 불길이 피어오른 것을 확인하고 22일 A씨를 긴급 체포했다.	 A씨는 혐의를 인정한 것으로 알려졌다.	한편 21일 오전 10시35분쯤 발생한 불은 강한 바람을 타고 확대됐고, 26시간만인 22일 낮 12시24분쯤 꺼졌다.	 소방당국은 불이 번지자 최고 단계 경보인 대응 3단계를 발령해 진화작업을 벌였다.	이 불로 인명피해는 없었지만, 불이 시작된 E동과 10개 업체의 배송 상품 등이 불에 타 소방서 추산 220억원 상당의 재산피해가 났다.	경찰은 전날 ""사안이 중하고 피해가 크다""며 구속영장을 신청했다."
"대한민국 동행세일, 코로나에 꺼진 소비 다시 불붙이나(종합)","홍남기 경제부총리 겸 기획재정부 장관은 ""대한민국 동행세일을 6월26일부터 7월12일까지 2주간에 걸쳐 개최할 것""이라고 말했다.	홍 부총리는 28일 정부서울청사에서 진행된 제5차 비상경제 중앙대책본부 회의를 주재하고 상반기 소비 진작을 위한 '대한민국 동행세일 추진 계획안'을 발표했다.	대한민국 동행세일은 하반기 개최되는 '코리아 세일 페스타'와 같은 맥락인 대대적인 특별할인행사로 올해 상반기 처음 개최된다.	홍 부총리는 ""그동안 신종 코로나바이러스 감염증 사태로 직격탄을 맞은 대·중·소 유통업체, 중소기업·소상공인들의 어려움을 조금이라도 덜어드리고 소비 진작을 위한 소비 활성화의 장을 제공할 것""이라고 설명했다.	그는 ""상생형 소비붐업 행사는 서울 남대문을 중심으로 전국 지자체 내 여러 지역에서 순차적으로 진행될 계획이며 철저한 방역을 전제로 한 안전행사가 되도록 할 것""이라고 언급했다.	이어 ""세일 행사 기간 특별할인전, 온라인 할인, 할인쿠폰 제공, 지역사랑상품권 증정 등 최대한의 인센티브가 제공되도록 할 것""이라며 ""외식과 소비의 연결, 특별여행 주간 각종 관광프로그램을 통한 관광과 소비의 연결 등도 준비해 소비촉진 모멘텀이 최대한 형성되도록 해나가겠다""고 강조했다."
동호대교 투신 소동… 퇴근길 주변 교통 혼잡,2일 오후 서울 동호대교에서 투신 소동이 벌어졌다.	서울 성동소방서와 경찰에 따르면 이날 오후 5시53분쯤 20대 남성 A씨가 동호대교 난간 밖으로 나가 투신소동을 벌이다가 32분만에 경찰에 의해 구조됐다.	A씨를 포함해 인명피해는 없었다.	퇴근시간대 벌어진 소동으로 주변 교통은 큰 혼잡을 빚었다.	경찰은 해당 남성이 소동을 벌인 경위에 대해 조사할 예정이다.
"마약판매 사기까지 했던 조주빈, 검사 ""음성"" 판정","여성 성착취물 제작·유포 혐의를 받는 텔레그램 '박사방' 운영진 조주빈이 마약 검사 결과 최종 음성 판정을 받은 것으로 확인됐다.	서울지방경찰청은 지난 6일 국립과학수사연구원으로부터 최근 조주빈에 대한 마약 검사 결과 음성 판정 소견을 전달받았다고 밝혔다.	경찰은 조주빈이 ‘박사방’ 운영 전 총기와 마약을 판매할 것처럼 속이고 돈을 가로챈 정황을 포착하고 지난달 조주빈에 대한 마약 검사를 국과수에 의뢰했다.	조주빈은 총기와 마약 판매를 미끼로 사기 범행을 저지른 뒤 범행 범위를 넓혀 ‘박사방’ 운영까지 하게 된 것으로 보인다.	조주빈은 2018년 12월부터 지난달까지 미성년자를 포함한 여성들을 대상으로 성착취물을 제작하고 이를 텔레그램을 통해 유포한 혐의를 받는다.	 경찰은 아동·청소년 성 보호에 관한 법률상 음란물 제작·배포, 유사성행위, 강간 등 12개 혐의로 조주빈을 검찰에 송치했다.	 일부 죄명은 불기소 의견으로 송치했다."
"""살해청탁"" 조주빈 일당, ""보복협박"" 혐의로 재판중","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""전주·부산 실종"" 연쇄살인범 얼굴 드러낼까… 20일 신상공개위원회","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"영종도 해안서 백골화 시신 발견… 경찰, 국과수에 분석 의뢰","인천 영종도에서 부패가 심하게 진행돼 신원을 알 수 없는 시신이 발견됐다.7일 인천해경에 따르면 지난 6일 오후 6시6분쯤 인천시 중구 영종도 마시안해변에서 한 관광객이 해변가에 떠 있는 시신이 발견하고 경찰에 신고했다.	시신은 발견 당시 부패가 심한 상태였던 것으로 알려졌다.	경찰 관계자는 ""얼굴이 백골화돼 성별을 구분하기 어렵고 옷은 입고 있었다""고 말했다.	경찰은 국립과학수사연구원에 의뢰해 신원을 확인할 예정이다."
"인천 남동공단 화재, 필터공장서 불… 소방관 1명 부상","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
110만원 받으려 임신한 여자친구 혹한에 방치한 유튜버,러시아의 한 유튜버가 후원금을 받기 위해 여자친구를 숨지게 해 경찰 조사를 받고 있다.10일 영국 매체 '더 선' 등에 따르면 러시아 유튜버 스타니슬라프 레셰트니코프는 지난 3일 여자친구 발렌티나 그리고리예바를 발코니에 가둬 저체온증으로 사망하게 했다.	그는 이날 개인 방송을 진행하던 중 한 시청자에게 '여자친구를 괴롭히면 후원금 1000달러를 주겠다'는 제안을 받았다.	 이에 레셰트니코프는 영하의 날씨에 임신한 여자친구를 15분 동안 감금했다.	 그리고리예바는 저체온증으로 점차 의식을 잃더니 결국 쓰러져 숨졌다.	 여자친구가 쓰러지자 놀란 레셰트니코프는 그를 집 안으로 끌고 와 소파에 눕힌 뒤 구급대에 신고했다.	 하지만 그는 여자친구가 사망한 와중에도 시신에 카메라를 비추며 라이브 방송을 이어갔다.	 여자친구의 시신은 구급대가 도착하기 전까지 그대로 송출됐다.	사건 이후 그의 유튜브 채널 속 영상은 대부분 삭제됐다.	 현지 경찰은 레셰트니코프를 현장에서 체포한 뒤 조사를 이어가고 있다.
"""공무원연금 개혁반대"" 도로 점거한 전교조 간부 벌금형","대법원이 지난 2015년 박근혜 정부가 추진한 공무원연금 개혁에 반대해 도로를 점거하는 등의 혐의을 받는 전국교직원노동조합 간부에 대한 원심을 확정했다.	 원심의 벌금형을 확정하면서도 경찰이 집회해산 사유를 고지하지 않은 시위에 관해서는 무죄를 인정했다.	  이기택 대법원 1부 주심 대법관은 19일 일반교통방해와 집회 및 시위에 관한 법률 위반 혐의로 기소된 A씨의 상고심에서 벌금 150만원을 선고한 원심을 확정했다.	재판부는 ""논리와 경험의 법칙에 반해 자유심증주의의 한계를 벗어나 법리를 오해한 잘못이 없다""며 A씨와 검찰 측 상고를 모두 기각했다.	전교조 간부인 A씨는 지난 2015년 3월28일 공무원단체 등과 함께 공무원연금 개혁 반대 집회를 벌이면서 도로를 점거한 채 행진해 교통을 방해한 혐의로 재판에 넘겨졌다.	이후 같은해 3월31일에는 질서 유지선을 넘어 정부서울청사까지 진출해 집회를 벌였으며 2달여 뒤인 5월2일과 6일에는 집회금지 장소인 국회의사당 인근에서 집회를 연 혐의로 기소됐다.1심은 ""A씨의 범행으로 인한 교통방해의 정도, 집회 참가 및 해산명령 불응의 정도 등을 고려하면 죄질이 좋지 않다""며 벌금 300만원을 선고했다.2심은 A씨가 3월28일 벌인 집회로 교통을 방해한 혐의에 대해서는 ""A씨는 당시 전교조 문화국장으로 집회 등을 총괄했지만 시위대의 행위가 신고된 범위를 일탈한 것임을 인식하고 있었다""며 유죄로 인정했다.	다만 3월31일 벌인 집회에서는 경찰이 구체적인 이유를 알리지 않으면서 해산을 명령했기 때문에 그에 따르지 않았다고 해서 법을 위반한 것은 아니라고 봤다.2심은 ""해산 명령을 할 때에는 해산 사유가 집시법 중 어느 사유에 해당하는지 구체적으로 고지해야 한다""면서 ""사유를 고지하지 않았거나 정당하지 않은 사유를 고지하면서 해산 명령을 한 경우에는 따르지 않았다고 하더라도 집시법을 위반했다고 할 수 없다""고 설명했다.5월2일과 6일에는 집회금지 장소인 국회의사당에서 진행돼 집시법 위반 혐의가 적용됐는데 2심은 헌법재판소가 지난 2018년 5월 해당 법 조항에 대해 헌법불합치결정을 내린 점을 언급했다.	재판부는 ""1심 선고 후 헌재는 이 부분 공소사실의 적용 법조에 해당하는 집시법 11조1호 중 국회의사당 부분에 대해 헌법불합치결정을 선고했다""며 ""효력을 상실한 것이므로 이 법률 조항을 적용해 공소가 제기된 사건에 대해 무죄가 선고돼야 한다""고 벌금 150만원을 선고했다."
"화성시, 유흥업소 339개소 5차 점검","화성=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""극단적 선택"" 경비원, 음성 유서 남겼다","입주민의 폭언과 폭행으로 극단적 선택을 한 고 최희석 경비원이 세차례에 걸쳐 음성 유서를 남긴 것으로 확인됐다.18일 경찰과 유족의 말을 종합하면 최씨는 지난 4일 첫번째 극단적인 선택을 시도하기 전 3개의 음성유서를 남겼다.	유족들은 3개의 녹음파일 중 2개를 가지고 있으며 핵심적인 내용이 담긴 것으로 알려진 1개의 파일은 경찰이 보관하고 있다.	최씨는 녹음파일들을 통해 입주민 A씨로부터 폭언과 폭행을 당해 너무 힘들다고 털어놨다.	최씨는 ""A씨한테 맞으면서 약으로 버텼다""며 ""밥을 굶고 정신적으로 얼마나 불안한지 아느냐""라는 내용의 음성유서를 남겼다.	 또 ""경비가 억울한 일 안 당하도록 제발 도와달라.	 강력히 처벌해달라""라며 일부 주민들에게 ""도와줘서 고맙다""는 인사를 남겼다.	서울 강북경찰서는 지난 17일 A씨를 피의자 신분으로 불러 약 11시간 동안 조사를 진행했다.	 A씨는 경찰 조사에서 자신의 폭행 의혹에 대해 대체로 부인한 것으로 전해졌다.	조사가 있기 전 A씨에 대한 출국금지 조치를 한 경찰은 조사 결과에 따라 구속영장을 신청하는 방안을 검토하고 있다."
"트럼프? 바이든?… 美 대선 화두 떠오른 ""폭력시위""",11월 미국 대선을 앞두고 ‘폭력시위’가 대선 경쟁의 주요한 화두로 등장했다.	 바이든 후보는 트럼프 대통령이 인종 차별을 부추기는 듯한 그간 분열적 언사를 문제 삼으며 체계적 인종차별주의에 적극 대응하지 못했다고 비판한다.	 트럼프 대통령은 민주당이 주지사나 시장으로 있는 곳에서 폭동과 약탈이 발생한다고 주장하며 강경 대응을 다짐하는 등 '법과 질서의 대통령' 강조에 주안점을 둔 양상이다.	 트럼프 대통령은 30일 트위터를 통해 “민주당이 운영하는 범죄 많은 도시에서 폭력을 멈출 유일한 방법은 힘을 통한 것 뿐”이라고 강조했다.	 전날 밤 인종차별에 항의하는 시위대와 충돌한 지지자 가운데 1명이 사망한 뒤 쓴 글이다.	  트럼프 대통령은 테드 휠러 포틀랜드 시장이 주 방위군 투입을 거부한다는 이유를 들어 그를 ‘바보’라거나 나약하고 한심하다고 비판했다.	 포틀랜드에선 5월 백인 경찰에 목이 짓눌려 사망한 흑인 남성 조지 플로이드 사건 이후 시위가 지속하고 있다.	 트럼프 대통령은 1일엔 위스콘신주 커노샤를 찾을 예정이다.	 흑인 제이컵 블레이크가 지난 23일 경찰 총에 7차례나 등을 맞은 사건으로 시위가 격화해 2명이 목숨을 잃은 지역이다.	 법 집행관을 만나고 폭동 피해를 점검한다는  취지다.	 바이든 후보는 이날 성명을 통해 전날 인종차별 시위 현장의 폭력 사태를 비판한 뒤 총을 맞은 사망자에 대해서는 애도의 뜻을 표했다.	 그는 “좌파든 우파든 누구에 의한 폭력이든 모두 비난한다”며 입장이 다르다는 이유로 같은 미국인의 죽음을 당연한 것으로 받아들여선 안된다고 역설했다.	바이든 후보는 이어 트럼프 대통령이 미국을 서로에 대한 복수를 맹세하는 나라로 만들길 원한다고 주장했다.	 그는 지난 4년간 미국 사회의 긴장감이 고조되고 갈등이 심화했다며 트럼프 대통령이 “우리 사회에 증오와 분열의 불길을 퍼뜨리는 것을 멈춰야 한다”고 지적했다.	또 좌우 이념과 관계없이 어떤 폭력에도 반대한다고 밝힌 바이든 후보는 트럼프 대통령에게도 같은 입장을 취할 것을 촉구했다.	 이번 성명과 관련해 블룸버그통신은 “대선을 약 2개월 남겨둔 바이든 후보가 내놓은 가장 강력한 표현”이라고 평가했다.
"경찰, 신천지 전담팀 만든다… 숨은 신천지 신도 찾아낼까","경찰이 코로나19 사태와 관련해 신천지 신자 등 소재 불명자 신속추적을 위한 전국 경찰 5753명 규모의 전담팀을 운영한다.	경찰청은 전국 18개 지방경찰청, 255개 경찰서 등 273개 관서에 '신속대응팀'을 편성해 정부와 중앙재난안전대책본부 등에 ▲검사 대상자 소재파악 ▲현장조사 지원 ▲사법처리를 지원할 계획이다.	이는 앞서 확보한 신천지 신도 명단 21만2000명과 관련해서도 동일하게 적용될 방침이다.	경찰 관계자는 ""지난 25일 저녁 확보한  명단이 26일 각 지방자치단체로 분류돼 내려간 것으로 안다.	 담당 공무원이 연락을 돌려서 확인이 안 될 시 개별 명단을 건네받아 가가호호 방문할 계획""이라고 말했다.	경찰은 각 서별 수사과장을 팀장으로, 수사·형사·사이버 수사·여성청소년수사·정보 등 관련 부서 합동으로 신속대응팀을 편성됐다.	경찰청 관계자에 따르면 최소 10명에서 많은 곳은 30명까지 투입된다.	 확산세가 빨라지면 인원은 더 늘 수 있다.	앞서 대구지방경찰청은 지난 23일 대구 내 감염의심자 중 소재불명 242명에 대한 소재 확인 요청을 받아 대구청 지능범죄수사대, 광역수사대, 국제범죄수사대 등에서 618명을 동원해 하루만에 241명 소재를 확인했다."
"김부겸 아내 ""남편이 뉴라이트? 친정오빠 이영훈 교수로 곤혹""","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"만취한 상태로 햄버거 드라이브스루 운전하다 ""쾅""… 기장군 40대 남성 체포",지난 8일 밤 9시47분경 부산 기장군 정관읍의 햄버거 매장 주차장과 드라이브스루에서 만취상태로 운전하던 40대 남성이 현장에서 체포됐다.	경찰에 따르면 운전자 A씨는 햄버거 매장 주차장에 주차해 둔 자신의 차량안에서 맥주 등을 마신 후 주차장내에서 왔다갔다하다 드라이브스루로 진입해 반복적으로 벽면을 충격했다.	현장에 출동한 경찰은 면허정지 수준의 만취상태로 운전한 A씨를 현행범으로 체포하고 정확한 사고 경위를 조사중이다.
"[단독] 라임펀드, 투자자 단체소송… 환매청구일 변경 취소 불만","라임자산운용이 판매한 1조6000억원 규모의 펀드가 환매 중단되면서 투자자와 판매사의 법적다툼이 단체소송으로 커지고 있다.	 대신증권에서 라임자산운용 펀드에 가입한 투자자 60명은 대신증권을 단체로 형사고소키로 했다.	 이번에는 투자자 60명이 지난해 10월 대신증권의 라임펀드 전산조작 의혹을 제기했다.	 당시 대신증권은 라임펀드에 가입한 투자자에게 ""매월 20일 단 하루 환매 신청을 받았는데 이번에 변경했다""는 전화를 돌렸으나 환매는 이뤄지지 않았다는 지적이다.	 대신증권은 계약에 적시된 환매 청구일을 '매달 20일 환매'에서 '매일 환매'로 바꾸려는 계획을 취소했다.	 라임자산운용이 지난해 10월4일 대신증권에 보낸 '신탁계약서 변경 취소 안내' 제목의 공문을 보면 '2019년 10월2일 변경 예정이었으나 내부 검토 후 취소'라고 밝혔다.	법무법인 우리 측은 ""많은 투자자들이 환매주문 신청을 완료했으나 당일 저녁에, 마치 피해자들이 취소한 것처럼 대신증권은 본사차원에서 임의로 환매주문 전산상태를 취소로 조작하는 범죄행위를 저질렀다""며 ""고객의 전산자료를 보호해야 할 금융회사가 고객들의 중요한 전산자료를 조작한 사건""이라고 지적했다.	 이어 ""라임펀드 설계를 주도하고 전산조작으로 투자자들의 피해를 키운 대신증권에 철저한 수사를 요구한다""고 밝혔다.	대신증권 관계자는 ""지난해 10월 라임자산운용이 판매사에 개방형 펀드의 환매 청구를 받는다고 통보했다""며 ""우리는 자사 고객을 보호하고자 최대한 조처한 것""이라고 설명했다.	 이어 ""금감원의 조사 결과에 따라 제재가 결정될 것""이라며 ""내부적으로 투자자에게 손실액을 선지급하는 보상안을 확정하고 동의신청을 받는 등 고객 신뢰를 회복하는 데 최선을 다하겠다""고 말했다.	 앞서 금감원은 지난 2월 합동 현장조사단 구성 후 신한금융투자, 대신증권, KB증권 등에 현장조사를 진행한 바 있다.	 이와 함께 검찰에 수사자료를 제공했으며 라임펀드 이관 및 조치와 병행해 제재를 준비하고 있다.	 한편 라임자산운용의 펀드를 판매한 곳은 모두 19곳으로 173개 펀드 판매 규모는 1조6679억원이다.	 이 중 개인 고객 대상 판매액은 9943억원이다.	 우리은행, 신한은행, 대신증권, 신한금융투자 순으로 펀드를 판매했다."
"경남 시민단체, ""大法 양산시장·의령군수 판결 왜 미루나!""",“민주주의 훼손하는 불법선거 엄단하라!	” 한편 김일권 양산시장과 이선두 의령군수는 지난 지방선거에서 공직선거법 위반혐의로 1·2심에서 각각 벌금 500만원과 300만원을 선고 받았다.	 이선두 군수는 당시 지역 기업인과 의령 농산물 유통기업인 '토요애유통'으로부터 뇌물수수·공금횡령 등 억대의 금품을 수뢰한 혐의가 적발돼 현재 피의자 신분으로 경찰 수사를 받고 있다.
"부산시, 집합금지명령 위반한 교회 6곳 고발","부산시가 부산경찰청과 합동으로 지난 26일 수요예배를 점검한 결과 방역수칙을 위반하고 대면예배를 진행한 11개 교회 중 6개 교회는 집합금지명령이 내려진 교회로 관련 법령에 따라 고발조치했다."""
"""가스검침 왔습니다""… 전 거제시장 자택 괴한 침입",전직 거제시장의 자택에 괴한이 침입하는 사건이 발생해 경찰이 수사에 나섰다.4일 거제경찰서에 따르면 지난 1일 저녁 8시쯤 신원이 확인되지 않은 한 남성이 가스검침원을 사칭해 전직 거제시장 A씨 집에 들어갔다.	당시 집에는 A씨의 부인 B씨가 혼자 있었던 것으로 알려졌다.	이 남성은 B씨를 상대로 소란을 피우고 달아났으며 B씨는 이 과정에서 손목과 가슴 등을 다쳐 병원에서 입원 치료를 받고 있다.	경찰은 도주한 남성을 체포하는 데 수사력을 집중하고 있다.
